Date,Not indexed,Indexed,Impressions
2026-02-22,,,10
2026-02-23,24,11,4
2026-02-24,26,10,7
2026-02-25,26,10,12
2026-02-26,26,10,18
2026-02-27,26,10,8
2026-02-28,26,10,15
2026-03-01,26,10,7
2026-03-02,26,10,3
2026-03-03,26,10,8
2026-03-04,26,10,3
2026-03-05,26,10,5
2026-03-06,26,10,9
2026-03-07,27,10,4
2026-03-08,27,10,4
2026-03-09,27,10,8
2026-03-10,27,10,3
2026-03-11,27,10,3
2026-03-12,27,10,2
2026-03-13,27,10,10
2026-03-14,27,10,4
2026-03-15,27,10,6
2026-03-16,27,10,10
2026-03-17,27,10,8
2026-03-18,27,10,6
2026-03-19,27,10,10
2026-03-20,27,10,7
2026-03-21,28,9,5
2026-03-22,28,9,14
2026-03-23,28,9,7
2026-03-24,28,9,13
2026-03-25,28,9,1
2026-03-26,28,9,7
2026-03-27,28,9,2
2026-03-28,34,9,6
2026-03-29,34,9,2
2026-03-30,34,9,6
2026-03-31,66,22,71
2026-04-01,66,22,177
2026-04-02,66,22,95
2026-04-03,66,22,88
2026-04-04,65,23,94
2026-04-05,65,23,180
2026-04-06,133,27,81
2026-04-07,133,27,89
2026-04-08,133,27,106
2026-04-09,133,27,170
2026-04-10,146,27,172
2026-04-11,146,27,181
2026-04-12,146,27,183
2026-04-13,234,34,182
2026-04-14,234,34,298
2026-04-15,234,34,339
2026-04-16,234,34,337
2026-04-17,233,36,337
2026-04-18,233,36,308
2026-04-19,233,36,313
2026-04-20,613,71,232
2026-04-21,613,71,274
2026-04-22,613,71,298
2026-04-23,613,71,252
2026-04-24,605,83,190
2026-04-25,605,83,235
2026-04-26,605,83,165
2026-04-27,602,87,216
2026-04-28,602,87,254
2026-04-29,602,87,380
2026-04-30,602,87,404
2026-05-01,607,87,359
2026-05-02,607,87,392
2026-05-03,607,87,422
2026-05-04,202,548,559
2026-05-05,202,548,865
2026-05-06,202,548,888
2026-05-07,202,548,1082
2026-05-08,184,571,1111
2026-05-09,184,571,1374
2026-05-10,184,571,1347
2026-05-11,185,570,1140
2026-05-12,185,570,1219
2026-05-13,185,570,983
2026-05-14,185,570,1023
2026-05-15,187,645,1128
2026-05-16,187,645,1247
2026-05-17,187,645,822
